Time [s],Channel 0,Channel 1,Channel 2
0.000000000,0,0,1
0.008070000,0,0,0
0.008092000,1,0,0
0.010070000,0,0,0
0.024085000,1,0,0
0.026074000,0,0,0
0.026097000,0,1,0
0.036077000,0,0,0
0.036104000,0,0,1
0.044124000,0,0,0
0.044140000,1,0,0
0.046114000,0,0,0
0.046136000,0,0,1
0.068120000,0,0,0
0.068143000,1,0,0
0.070120000,0,0,0
0.070143000,0,1,0
0.080123000,0,0,0
0.084113000,1,0,0
0.086092000,0,0,0
0.086119000,0,0,1
0.104142000,0,0,0
0.104157000,1,0,0
0.106130000,0,0,0
0.106153000,0,1,0
0.116133000,0,0,0
0.116154000,0,0,1
0.128103000,0,0,0
0.128125000,1,0,0
0.130104000,0,0,0
0.144119000,1,0,0
0.146108000,0,0,0
0.146131000,0,1,0
0.156111000,0,0,0
0.156138000,0,0,1
0.164158000,0,0,0
0.164173000,1,0,0
0.166148000,0,0,0
0.166168000,0,0,1
0.188153000,0,0,0
0.188176000,1,0,0
0.190154000,0,0,0
0.190177000,0,1,0
0.200157000,0,0,0
0.204135000,1,0,0
0.206125000,0,0,0
0.206152000,0,0,1
0.224175000,0,0,0
0.224190000,1,0,0
0.226164000,0,0,0
0.226187000,0,1,0
0.236167000,0,0,0
0.236188000,0,0,1
0.248170000,0,0,0
0.248192000,1,0,0
0.250171000,0,0,0
0.264161000,1,0,0
0.266142000,0,0,0
0.266165000,0,1,0
0.276145000,0,0,0
0.276172000,0,0,1
0.284192000,0,0,0
0.284207000,1,0,0
0.286182000,0,0,0
0.286202000,0,0,1
0.308154000,0,0,0
0.308177000,1,0,0
0.310154000,0,0,0
0.310177000,0,1,0
0.320157000,0,0,0
0.324172000,1,0,0
0.326159000,0,0,0
0.326186000,0,0,1
0.344209000,0,0,0
0.344224000,1,0,0
0.346198000,0,0,0
0.346221000,0,1,0
0.356200000,0,0,0
0.356221000,0,0,1
0.368171000,0,0,0
0.368194000,1,0,0
0.370171000,0,0,0
0.384186000,1,0,0
0.386175000,0,0,0
0.386198000,0,1,0
0.396178000,0,0,0
0.396205000,0,0,1
0.404225000,0,0,0
0.404241000,1,0,0
0.406215000,0,0,0
0.406237000,0,0,1
0.428221000,0,0,0
0.428244000,1,0,0
0.430221000,0,0,0
0.430244000,0,1,0
0.440224000,0,0,0
0.444214000,1,0,0
0.446193000,0,0,0
0.446220000,0,0,1
0.464243000,0,0,0
0.464258000,1,0,0
0.466231000,0,0,0
0.466254000,0,1,0
0.476234000,0,0,0
0.476255000,0,0,1
0.488204000,0,0,0
0.488227000,1,0,0
0.490205000,0,0,0
0.504220000,1,0,0
0.506209000,0,0,0
0.506232000,0,1,0
0.516212000,0,0,0
0.516239000,0,0,1
0.524259000,0,0,0
0.524275000,1,0,0
0.526249000,0,0,0
0.526270000,0,0,1
0.548254000,0,0,0
0.548277000,1,0,0
0.550256000,0,0,0
0.550278000,0,1,0
0.560258000,0,0,0
0.564236000,1,0,0
0.566226000,0,0,0
0.566253000,0,0,1
0.584276000,0,0,0
0.584292000,1,0,0
0.586266000,0,0,0
0.586288000,0,1,0
0.596269000,0,0,0
0.596289000,0,0,1
0.608271000,0,0,0
0.608294000,1,0,0
0.610272000,0,0,0
0.624262000,1,0,0
0.626243000,0,0,0
0.626266000,0,1,0
0.636246000,0,0,0
0.636273000,0,0,1
0.644293000,0,0,0
0.644309000,1,0,0
0.646283000,0,0,0
0.646304000,0,0,1
0.668255000,0,0,0
0.668278000,1,0,0
0.670256000,0,0,0
0.670278000,0,1,0
0.680258000,0,0,0
0.684274000,1,0,0
0.686260000,0,0,0
0.686287000,0,0,1
0.704310000,0,0,0
0.704325000,1,0,0
0.706300000,0,0,0
0.706322000,0,1,0
0.716301000,0,0,0
0.716322000,0,0,1
0.728272000,0,0,0
0.728295000,1,0,0
0.730272000,0,0,0
0.744288000,1,0,0
0.746276000,0,0,0
0.746299000,0,1,0
0.756279000,0,0,0
0.756306000,0,0,1
0.764327000,0,0,0
0.764342000,1,0,0
0.766316000,0,0,0
0.766338000,0,0,1
0.788323000,0,0,0
0.788345000,1,0,0
0.790323000,0,0,0
0.790345000,0,1,0
0.800325000,0,0,0
0.804316000,1,0,0
0.806294000,0,0,0
0.806321000,0,0,1
0.824344000,0,0,0
0.824360000,1,0,0
0.826333000,0,0,0
0.826355000,0,1,0
0.836336000,0,0,0
0.836357000,0,0,1
0.848305000,0,0,0
0.848328000,1,0,0
0.850307000,0,0,0
0.864322000,1,0,0
0.866311000,0,0,0
0.866333000,0,1,0
0.876313000,0,0,0
0.876340000,0,0,1
0.884360000,0,0,0
0.884376000,1,0,0
0.886350000,0,0,0
0.886371000,0,0,1
0.908356000,0,0,0
0.908378000,1,0,0
0.910357000,0,0,0
0.910379000,0,1,0
0.920360000,0,0,0
0.924337000,1,0,0
0.926327000,0,0,0
0.926354000,0,0,1
0.944377000,0,0,0
0.944393000,1,0,0
0.946367000,0,0,0
0.946390000,0,1,0
0.956370000,0,0,0
0.956390000,0,0,1
0.968372000,0,0,0
0.968395000,1,0,0
0.970374000,0,0,0
0.984364000,1,0,0
0.986344000,0,0,0
0.986367000,0,1,0
0.996347000,0,0,0
0.996374000,0,0,1
1.004394000,0,0,0
1.004410000,1,0,0
1.006384000,0,0,0
1.006405000,0,0,1
1.028357000,0,0,0
1.028379000,1,0,0
1.030357000,0,0,0
1.030379000,0,1,0
1.040359000,0,0,0
1.044375000,1,0,0
1.046361000,0,0,0
1.046388000,0,0,1
1.064411000,0,0,0
1.064427000,1,0,0
1.066401000,0,0,0
1.066424000,0,1,0
1.076403000,0,0,0
1.076424000,0,0,1
1.088374000,0,0,0
1.088396000,1,0,0
1.090374000,0,0,0
1.104389000,1,0,0
1.106378000,0,0,0
1.106400000,0,1,0
1.116380000,0,0,0
1.116407000,0,0,1
1.124428000,0,0,0
1.124443000,1,0,0
1.126418000,0,0,0
1.126440000,0,0,1
1.148424000,0,0,0
1.148446000,1,0,0
1.150424000,0,0,0
1.150447000,0,1,0
1.160427000,0,0,0
1.164417000,1,0,0
1.166396000,0,0,0
1.166423000,0,0,1
1.184445000,0,0,0
1.184461000,1,0,0
1.186434000,0,0,0
1.186457000,0,1,0
1.196437000,0,0,0
1.196458000,0,0,1
1.208407000,0,0,0
1.208429000,1,0,0
1.210408000,0,0,0
1.224423000,1,0,0
1.226412000,0,0,0
1.226434000,0,1,0
1.236415000,0,0,0
1.236442000,0,0,1
1.244462000,0,0,0
1.244477000,1,0,0
1.246451000,0,0,0
1.246472000,0,0,1
1.268457000,0,0,0
1.268479000,1,0,0
1.270458000,0,0,0
1.270481000,0,1,0
1.280461000,0,0,0
1.284439000,1,0,0
1.286429000,0,0,0
1.286456000,0,0,1
1.304478000,0,0,0
1.304494000,1,0,0
1.306468000,0,0,0
1.306491000,0,1,0
1.316471000,0,0,0
1.316492000,0,0,1
1.328474000,0,0,0
1.328496000,1,0,0
1.330475000,0,0,0
1.344465000,1,0,0
1.346446000,0,0,0
1.346468000,0,1,0
