Time [s],Channel 3,Channel 4,Channel 5
0.000000000,0,0,1
0.001410000,0,0,0
0.001427000,0,0,1
0.006366000,0,0,0
0.006390000,1,0,0
0.016369000,0,0,0
0.016391000,0,1,0
0.026372000,0,0,0
0.026395000,1,0,0
0.036375000,0,0,0
0.036397000,1,0,0
0.046377000,0,0,0
0.046400000,0,1,0
0.056380000,0,0,0
0.056407000,0,0,1
0.066429000,0,0,0
0.066446000,0,0,1
0.071384000,0,0,0
0.071409000,1,0,0
0.081387000,0,0,0
0.081410000,0,1,0
0.091391000,0,0,0
0.091413000,1,0,0
0.101393000,0,0,0
0.101416000,1,0,0
0.111396000,0,0,0
0.111418000,0,1,0
0.121398000,0,0,0
0.121425000,0,0,1
0.131447000,0,0,0
0.131464000,0,0,1
0.136403000,0,0,0
0.136427000,1,0,0
0.146406000,0,0,0
0.146428000,0,1,0
0.156409000,0,0,0
0.156432000,1,0,0
0.166412000,0,0,0
0.166434000,1,0,0
0.176414000,0,0,0
0.176437000,0,1,0
0.186417000,0,0,0
0.186444000,0,0,1
0.196466000,0,0,0
0.196483000,0,0,1
0.201422000,0,0,0
0.201446000,1,0,0
0.211424000,0,0,0
0.211447000,0,1,0
0.221428000,0,0,0
0.221450000,1,0,0
0.231430000,0,0,0
0.231453000,1,0,0
0.241433000,0,0,0
0.241455000,0,1,0
0.251435000,0,0,0
0.251462000,0,0,1
0.261485000,0,0,0
0.261502000,0,0,1
0.266440000,0,0,0
0.266464000,1,0,0
0.276444000,0,0,0
0.276467000,0,1,0
0.286447000,0,0,0
0.286469000,1,0,0
0.296449000,0,0,0
0.296471000,1,0,0
0.306452000,0,0,0
0.306474000,0,1,0
0.316454000,0,0,0
0.316481000,0,0,1
0.326503000,0,0,0
0.326520000,0,0,1
0.331459000,0,0,0
0.331483000,1,0,0
0.341463000,0,0,0
0.341485000,0,1,0
0.351465000,0,0,0
0.351488000,1,0,0
0.361468000,0,0,0
0.361490000,1,0,0
0.371470000,0,0,0
0.371493000,0,1,0
0.381473000,0,0,0
0.381499000,0,0,1
0.391522000,0,0,0
0.391539000,0,0,1
0.396478000,0,0,0
0.396503000,1,0,0
0.406481000,0,0,0
0.406504000,0,1,0
0.416484000,0,0,0
0.416506000,1,0,0
0.426486000,0,0,0
0.426509000,1,0,0
0.436489000,0,0,0
0.436511000,0,1,0
0.446492000,0,0,0
0.446519000,0,0,1
0.456540000,0,0,0
0.456557000,0,0,1
0.461497000,0,0,0
0.461521000,1,0,0
0.471500000,0,0,0
0.471522000,0,1,0
0.481502000,0,0,0
0.481525000,1,0,0
0.491505000,0,0,0
0.491527000,1,0,0
0.501508000,0,0,0
0.501531000,0,1,0
0.511511000,0,0,0
0.511537000,0,0,1
0.521559000,0,0,0
0.521575000,0,0,1
0.526515000,0,0,0
0.526540000,1,0,0
0.536518000,0,0,0
0.536541000,0,1,0
0.546521000,0,0,0
0.546543000,1,0,0
0.556523000,0,0,0
0.556546000,1,0,0
0.566527000,0,0,0
0.566549000,0,1,0
0.576529000,0,0,0
0.576556000,0,0,1
0.586578000,0,0,0
0.586594000,0,0,1
0.591534000,0,0,0
0.591558000,1,0,0
0.601537000,0,0,0
0.601559000,0,1,0
0.611539000,0,0,0
0.611562000,1,0,0
