Time [s],Channel 0,Channel 1,Channel 2,Channel 7
0.000000000,0,0,1,1
0.001368000,0,0,0,1
0.001369000,0,0,0,0
0.001375000,0,0,0,1
0.001387000,0,0,1,1
0.006324000,0,0,0,1
0.006335000,0,0,0,0
0.006340000,0,0,0,1
0.006349000,1,0,0,1
0.016328000,0,0,0,1
0.016336000,0,0,0,0
0.016343000,0,0,0,1
0.016352000,0,1,0,1
0.026331000,0,0,0,1
0.026339000,0,0,0,0
0.026345000,0,0,0,1
0.026354000,1,0,0,1
0.036333000,0,0,0,1
0.036341000,0,0,0,0
0.036348000,0,0,0,1
0.036356000,1,0,0,1
0.046336000,0,0,0,1
0.046344000,0,0,0,0
0.046350000,0,0,0,1
0.046359000,0,1,0,1
0.056338000,0,0,0,1
0.056346000,0,0,0,0
0.056353000,0,0,0,1
0.056366000,0,0,1,1
0.066386000,0,0,0,1
0.066388000,0,0,0,0
0.066393000,0,0,0,1
0.066405000,0,0,1,1
0.071344000,0,0,0,1
0.071354000,0,0,0,0
0.071360000,0,0,0,1
0.071369000,1,0,0,1
0.081346000,0,0,0,1
0.081355000,0,0,0,0
0.081361000,0,0,0,1
0.081370000,0,1,0,1
0.091349000,0,0,0,1
0.091357000,0,0,0,0
0.091364000,0,0,0,1
0.091372000,1,0,0,1
0.101351000,0,0,0,1
0.101360000,0,0,0,0
0.101366000,0,0,0,1
0.101375000,1,0,0,1
0.111354000,0,0,0,1
0.111362000,0,0,0,0
0.111369000,0,0,0,1
0.111378000,0,1,0,1
0.121357000,0,0,0,1
0.121365000,0,0,0,0
0.121371000,0,0,0,1
0.121385000,0,0,1,1
0.131405000,0,0,0,1
0.131407000,0,0,0,0
0.131412000,0,0,0,1
0.131424000,0,0,1,1
0.136362000,0,0,0,1
0.136373000,0,0,0,0
0.136379000,0,0,0,1
0.136388000,1,0,0,1
0.146365000,0,0,0,1
0.146373000,0,0,0,0
0.146380000,0,0,0,1
0.146388000,0,1,0,1
0.156367000,0,0,0,1
0.156376000,0,0,0,0
0.156382000,0,0,0,1
0.156391000,1,0,0,1
0.166370000,0,0,0,1
0.166378000,0,0,0,0
0.166384000,0,0,0,1
0.166393000,1,0,0,1
0.176374000,0,0,0,1
0.176382000,0,0,0,0
0.176388000,0,0,0,1
0.176397000,0,1,0,1
