Time [s],Channel 0,Channel 1,Channel 2
0.000000000,0,0,0
0.010950000,1,0,0
0.012925000,0,0,0
0.012947000,0,1,0
0.022929000,0,0,0
0.022956000,0,0,1
0.030975000,0,0,0
0.030990000,1,0,0
0.032966000,0,0,0
0.032990000,0,0,1
0.051015000,0,0,0
0.051030000,1,0,0
0.053005000,0,0,0
0.053027000,0,1,0
0.063007000,0,0,0
0.063032000,0,0,1
0.067008000,0,0,0
0.070135000,1,0,0
0.072110000,0,0,0
0.072137000,0,0,1
0.090161000,0,0,0
0.090176000,1,0,0
0.092150000,0,0,0
0.092172000,0,1,0
0.102154000,0,0,0
0.102179000,0,0,1
0.110200000,0,0,0
0.110215000,1,0,0
0.112190000,0,0,0
0.112214000,0,0,1
0.116157000,0,0,0
0.130658000,1,0,0
0.132634000,0,0,0
0.132656000,0,1,0
0.142638000,0,0,0
0.142664000,0,0,1
0.150684000,0,0,0
0.150699000,1,0,0
0.152674000,0,0,0
0.152699000,0,0,1
0.170723000,0,0,0
0.170738000,1,0,0
0.172713000,0,0,0
0.172735000,0,1,0
0.182716000,0,0,0
0.182740000,0,0,1
0.186716000,0,0,0
0.190878000,1,0,0
0.192853000,0,0,0
0.192879000,0,0,1
0.210903000,0,0,0
0.210918000,1,0,0
0.212892000,0,0,0
0.212914000,0,1,0
0.222896000,0,0,0
0.222921000,0,0,1
0.230942000,0,0,0
0.230957000,1,0,0
0.232932000,0,0,0
0.232957000,0,0,1
0.236899000,0,0,0
0.250367000,1,0,0
0.252342000,0,0,0
0.252364000,0,1,0
0.262346000,0,0,0
0.262373000,0,0,1
0.270392000,0,0,0
0.270407000,1,0,0
0.272382000,0,0,0
0.272407000,0,0,1
0.290431000,0,0,0
0.290446000,1,0,0
0.292422000,0,0,0
0.292444000,0,1,0
0.302424000,0,0,0
0.302449000,0,0,1
0.306425000,0,0,0
0.310586000,1,0,0
0.312561000,0,0,0
0.312588000,0,0,1
0.330611000,0,0,0
0.330626000,1,0,0
0.332600000,0,0,0
0.332622000,0,1,0
0.342604000,0,0,0
0.342629000,0,0,1
0.350650000,0,0,0
0.350665000,1,0,0
0.352641000,0,0,0
0.352665000,0,0,1
0.356608000,0,0,0
0.371109000,1,0,0
0.373084000,0,0,0
0.373107000,0,1,0
0.383088000,0,0,0
0.383115000,0,0,1
0.391134000,0,0,0
0.391149000,1,0,0
0.393125000,0,0,0
0.393149000,0,0,1
0.410173000,0,0,0
0.410188000,1,0,0
0.412164000,0,0,0
0.412186000,0,1,0
0.422166000,0,0,0
0.422192000,0,0,1
0.427167000,0,0,0
0.430294000,1,0,0
0.432269000,0,0,0
0.432296000,0,0,1
0.450320000,0,0,0
0.450335000,1,0,0
0.452309000,0,0,0
0.452331000,0,1,0
0.462313000,0,0,0
0.462338000,0,0,1
0.470359000,0,0,0
0.470374000,1,0,0
0.472349000,0,0,0
0.472374000,0,0,1
0.476316000,0,0,0
0.490817000,1,0,0
0.492793000,0,0,0
0.492815000,0,1,0
0.502797000,0,0,0
0.502823000,0,0,1
0.510843000,0,0,0
0.510858000,1,0,0
0.512833000,0,0,0
0.512858000,0,0,1
0.530882000,0,0,0
0.530897000,1,0,0
0.532872000,0,0,0
0.532894000,0,1,0
0.542875000,0,0,0
0.542899000,0,0,1
0.546876000,0,0,0
0.551037000,1,0,0
0.553012000,0,0,0
0.553039000,0,0,1
0.571062000,0,0,0
0.571077000,1,0,0
0.573051000,0,0,0
0.573073000,0,1,0
0.583055000,0,0,0
0.583080000,0,0,1
0.591101000,0,0,0
0.591116000,1,0,0
0.593091000,0,0,0
0.593116000,0,0,1
0.597059000,0,0,0
0.610526000,1,0,0
0.612501000,0,0,0
0.612523000,0,1,0
0.622505000,0,0,0
0.622532000,0,0,1
0.630551000,0,0,0
0.630566000,1,0,0
0.632541000,0,0,0
0.632566000,0,0,1
0.650590000,0,0,0
0.650605000,1,0,0
0.652581000,0,0,0
0.652603000,0,1,0
0.662583000,0,0,0
0.662608000,0,0,1
0.666584000,0,0,0
0.670745000,1,0,0
0.672720000,0,0,0
0.672747000,0,0,1
0.690771000,0,0,0
0.690786000,1,0,0
0.692759000,0,0,0
0.692782000,0,1,0
0.702763000,0,0,0
0.702788000,0,0,1
0.710809000,0,0,0
0.710824000,1,0,0
0.712800000,0,0,0
0.712824000,0,0,1
0.716767000,0,0,0
0.731268000,1,0,0
0.733243000,0,0,0
0.733266000,0,1,0
0.743247000,0,0,0
0.743274000,0,0,1
0.750293000,0,0,0
0.750308000,1,0,0
0.752284000,0,0,0
0.752308000,0,0,1
0.770332000,0,0,0
0.770348000,1,0,0
0.772323000,0,0,0
0.772345000,0,1,0
0.782325000,0,0,0
0.782350000,0,0,1
0.787326000,0,0,0
0.790453000,1,0,0
0.792429000,0,0,0
0.792455000,0,0,1
0.810479000,0,0,0
0.810494000,1,0,0
0.812468000,0,0,0
0.812490000,0,1,0
0.822472000,0,0,0
0.822497000,0,0,1
0.830518000,0,0,0
0.830533000,1,0,0
0.832508000,0,0,0
0.832533000,0,0,1
0.836475000,0,0,0
0.850977000,1,0,0
0.852952000,0,0,0
0.852974000,0,1,0
0.862956000,0,0,0
0.862982000,0,0,1
0.871002000,0,0,0
0.871017000,1,0,0
0.872992000,0,0,0
0.873017000,0,0,1
0.891041000,0,0,0
0.891056000,1,0,0
0.893031000,0,0,0
0.893054000,0,1,0
0.903034000,0,0,0
0.903058000,0,0,1
0.907035000,0,0,0
0.911196000,1,0,0
0.913171000,0,0,0
0.913198000,0,0,1
0.931221000,0,0,0
0.931236000,1,0,0
0.933210000,0,0,0
0.933232000,0,1,0
0.943214000,0,0,0
0.943239000,0,0,1
0.951260000,0,0,0
0.951275000,1,0,0
0.953251000,0,0,0
0.953275000,0,0,1
0.957218000,0,0,0
0.970685000,1,0,0
0.972660000,0,0,0
0.972682000,0,1,0
0.982664000,0,0,0
0.982691000,0,0,1
0.990710000,0,0,0
0.990725000,1,0,0
0.992701000,0,0,0
0.992725000,0,0,1
1.010749000,0,0,0
1.010764000,1,0,0
1.012740000,0,0,0
1.012762000,0,1,0
1.022742000,0,0,0
1.022767000,0,0,1
1.026743000,0,0,0
1.030904000,1,0,0
1.032879000,0,0,0
1.032906000,0,0,1
1.050930000,0,0,0
1.050945000,1,0,0
1.052919000,0,0,0
1.052941000,0,1,0
1.062922000,0,0,0
1.062947000,0,0,1
1.070969000,0,0,0
1.070984000,1,0,0
1.072959000,0,0,0
1.072983000,0,0,1
1.076926000,0,0,0
1.090393000,1,0,0
1.092369000,0,0,0
1.092391000,0,1,0
