Time [s],Channel 0,Channel 1,Channel 2,Channel 7
0.000000000,0,0,1,0
0.017933000,0,0,0,0
0.017950000,1,0,0,0
0.019922000,0,0,0,0
0.019946000,0,1,0,0
0.029926000,0,0,0,0
0.029952000,0,0,1,0
0.033928000,0,0,0,0
0.037880000,1,0,0,0
0.039862000,0,0,0,0
0.039890000,0,0,1,0
0.057912000,0,0,0,0
0.057928000,1,0,0,0
0.059901000,0,0,0,0
0.059924000,0,1,0,0
0.069904000,0,0,0,0
0.069931000,0,0,1,0
0.077951000,0,0,0,0
0.077967000,1,0,0,0
0.079940000,0,0,0,0
0.079967000,0,0,1,0
0.083909000,0,0,0,0
0.097899000,1,0,0,0
0.099880000,0,0,0,0
0.099903000,0,1,0,0
0.109882000,0,0,0,0
0.109911000,0,0,1,0
0.117930000,0,0,0,0
0.117946000,1,0,0,0
0.119919000,0,0,0,0
0.119945000,0,0,1,0
0.137969000,0,0,0,0
0.137985000,1,0,0,0
0.139958000,0,0,0,0
0.139981000,0,1,0,0
0.149961000,0,0,0,0
0.149988000,0,0,1,0
0.153929000,0,0,0,0
0.157918000,1,0,0,0
0.159898000,0,0,0,0
0.159926000,0,0,1,0
0.177947000,0,0,0,0
0.177964000,1,0,0,0
0.179936000,0,0,0,0
0.179960000,0,1,0,0
0.189940000,0,0,0,0
0.189966000,0,0,1,0
0.197987000,0,0,0,0
0.198003000,1,0,0,0
0.199976000,0,0,0,0
0.200002000,0,0,1,0
0.203944000,0,0,0,0
0.217934000,1,0,0,0
0.219915000,0,0,0,0
0.219939000,0,1,0,0
0.229918000,0,0,0,0
0.229946000,0,0,1,0
0.237965000,0,0,0,0
0.237982000,1,0,0,0
0.239954000,0,0,0,0
0.239981000,0,0,1,0
0.258005000,0,0,0,0
0.258021000,1,0,0,0
0.259994000,0,0,0,0
0.260017000,0,1,0,0
0.269997000,0,0,0,0
0.270023000,0,0,1,0
0.273999000,0,0,0,0
0.277951000,1,0,0,0
0.279933000,0,0,0,0
0.279961000,0,0,1,0
0.297983000,0,0,0,0
0.297999000,1,0,0,0
