Time [s],Channel 3,Channel 4,Channel 5
0.000000000,1,0,0
0.003133000,0,0,0
0.003155000,0,1,0
0.013135000,0,0,0
0.013158000,1,0,0
0.023139000,0,0,0
0.023161000,0,1,0
0.033141000,0,0,0
0.033164000,1,0,0
0.043144000,0,0,0
0.043167000,0,0,1
0.053147000,0,0,0
0.053169000,1,0,0
0.063149000,0,0,0
0.063172000,0,1,0
0.073152000,0,0,0
0.073174000,1,0,0
0.083155000,0,0,0
0.083178000,0,1,0
0.093158000,0,0,0
0.093180000,1,0,0
0.103160000,0,0,0
0.103183000,0,0,1
0.113163000,0,0,0
0.113185000,1,0,0
0.123166000,0,0,0
0.123189000,0,1,0
0.133169000,0,0,0
0.133191000,1,0,0
0.143172000,0,0,0
0.143194000,0,1,0
0.153174000,0,0,0
0.153197000,1,0,0
0.163177000,0,0,0
0.163199000,0,0,1
0.173179000,0,0,0
0.173202000,1,0,0
0.183183000,0,0,0
0.183205000,0,1,0
0.193185000,0,0,0
0.193208000,1,0,0
0.203188000,0,0,0
0.203210000,0,1,0
0.213191000,0,0,0
0.213214000,1,0,0
0.223194000,0,0,0
0.223216000,0,0,1
0.233196000,0,0,0
0.233219000,1,0,0
0.243200000,0,0,0
0.243222000,0,1,0
0.253202000,0,0,0
0.253224000,1,0,0
0.263204000,0,0,0
0.263227000,0,1,0
0.273208000,0,0,0
0.273230000,1,0,0
0.283210000,0,0,0
0.283233000,0,0,1
0.293213000,0,0,0
0.293235000,1,0,0
0.303215000,0,0,0
0.303238000,0,1,0
0.313218000,0,0,0
0.313240000,1,0,0
0.323221000,0,0,0
0.323244000,0,1,0
0.333224000,0,0,0
0.333246000,1,0,0
0.343227000,0,0,0
0.343250000,0,0,1
0.353230000,0,0,0
0.353252000,1,0,0
0.363232000,0,0,0
0.363254000,0,1,0
0.373236000,0,0,0
0.373258000,1,0,0
0.383238000,0,0,0
0.383260000,0,1,0
0.393241000,0,0,0
0.393263000,1,0,0
0.403243000,0,0,0
0.403265000,0,0,1
0.413247000,0,0,0
0.413269000,1,0,0
0.423249000,0,0,0
0.423272000,0,1,0
0.433252000,0,0,0
0.433274000,1,0,0
0.443255000,0,0,0
0.443277000,0,1,0
0.453257000,0,0,0
0.453280000,1,0,0
0.463260000,0,0,0
0.463282000,0,0,1
0.473263000,0,0,0
0.473286000,1,0,0
0.483266000,0,0,0
0.483288000,0,1,0
0.493268000,0,0,0
0.493291000,1,0,0
0.503271000,0,0,0
0.503293000,0,1,0
0.513274000,0,0,0
0.513297000,1,0,0
0.523277000,0,0,0
0.523299000,0,0,1
