Time [s],Channel 0,Channel 1,Channel 2,Channel 7
0.000000000,0,1,0,0
0.008777000,0,0,0,0
0.008800000,1,0,0,0
0.018780000,0,0,0,0
0.018803000,0,1,0,0
0.028782000,0,0,0,0
0.028806000,1,0,0,0
0.038785000,0,0,0,0
0.038808000,0,0,1,0
0.048787000,0,0,0,0
0.048811000,1,0,0,0
0.058790000,0,0,0,0
0.058813000,0,1,0,0
0.068792000,0,0,0,0
0.068816000,1,0,0,0
0.078796000,0,0,0,0
0.078820000,0,1,0,0
0.088799000,0,0,0,0
0.088822000,1,0,0,0
0.098801000,0,0,0,0
0.098825000,0,0,1,0
0.108805000,0,0,0,0
0.108828000,1,0,0,0
0.118807000,0,0,0,0
0.118831000,0,1,0,0
0.128810000,0,0,0,0
0.128833000,1,0,0,0
0.138812000,0,0,0,0
0.138836000,0,1,0,0
0.148815000,0,0,0,0
0.148838000,1,0,0,0
0.158817000,0,0,0,0
0.158841000,0,0,1,0
0.168820000,0,0,0,0
0.168844000,1,0,0,0
0.178824000,0,0,0,0
0.178847000,0,1,0,0
0.188827000,0,0,0,0
0.188850000,1,0,0,0
0.198829000,0,0,0,0
0.198853000,0,1,0,0
0.208833000,0,0,0,0
0.208856000,1,0,0,0
0.218835000,0,0,0,0
0.218859000,0,0,1,0
0.228838000,0,0,0,0
0.228861000,1,0,0,0
0.238840000,0,0,0,0
0.238864000,0,1,0,0
0.248843000,0,0,0,0
0.248866000,1,0,0,0
0.258845000,0,0,0,0
0.258869000,0,1,0,0
0.268848000,0,0,0,0
0.268871000,1,0,0,0
0.278852000,0,0,0,0
0.278875000,0,0,1,0
0.288854000,0,0,0,0
0.288878000,1,0,0,0
0.298857000,0,0,0,0
0.298880000,0,1,0,0
0.308859000,0,0,0,0
0.308883000,1,0,0,0
0.318863000,0,0,0,0
0.318886000,0,1,0,0
0.328865000,0,0,0,0
0.328889000,1,0,0,0
0.338868000,0,0,0,0
0.338892000,0,0,1,0
0.348871000,0,0,0,0
0.348894000,1,0,0,0
0.358873000,0,0,0,0
0.358897000,0,1,0,0
0.368876000,0,0,0,0
0.368899000,1,0,0,0
0.378878000,0,0,0,0
0.378902000,0,1,0,0
0.388882000,0,0,0,0
0.388906000,1,0,0,0
0.398885000,0,0,0,0
0.398908000,0,0,1,0
0.408887000,0,0,0,0
0.408910000,1,0,0,0
0.418889000,0,0,0,0
0.418913000,0,1,0,0
0.428893000,0,0,0,0
0.428917000,1,0,0,0
0.438896000,0,0,0,0
0.438919000,0,1,0,0
0.448899000,0,0,0,0
0.448922000,1,0,0,0
0.458901000,0,0,0,0
0.458925000,0,0,1,0
0.468904000,0,0,0,0
0.468927000,1,0,0,0
0.478906000,0,0,0,0
0.478930000,0,1,0,0
0.488909000,0,0,0,0
0.488932000,1,0,0,0
0.498913000,0,0,0,0
0.498936000,0,1,0,0
0.508915000,0,0,0,0
0.508938000,1,0,0,0
0.518917000,0,0,0,0
0.518941000,0,0,1,0
0.528920000,0,0,0,0
0.528944000,1,0,0,0
0.538924000,0,0,0,0
0.538947000,0,1,0,0
0.548927000,0,0,0,0
0.548950000,1,0,0,0
0.558929000,0,0,0,0
0.558953000,0,1,0,0
0.568932000,0,0,0,0
0.568955000,1,0,0,0
0.578934000,0,0,0,0
0.578958000,0,0,1,0
0.588937000,0,0,0,0
0.588960000,1,0,0,0
0.598939000,0,0,0,0
0.598963000,0,1,0,0
0.608943000,0,0,0,0
0.608966000,1,0,0,0
0.618945000,0,0,0,0
0.618969000,0,1,0,0
0.628948000,0,0,0,0
0.628972000,1,0,0,0
0.638951000,0,0,0,0
0.638974000,0,0,1,0
0.648955000,0,0,0,0
0.648978000,1,0,0,0
0.658957000,0,0,0,0
0.658981000,0,1,0,0
0.668960000,0,0,0,0
0.668983000,1,0,0,0
0.678962000,0,0,0,0
0.678986000,0,1,0,0
0.688965000,0,0,0,0
0.688988000,1,0,0,0
0.698967000,0,0,0,0
0.698991000,0,0,1,0
0.708971000,0,0,0,0
0.708995000,1,0,0,0
0.718974000,0,0,0,0
0.718997000,0,1,0,0
0.728976000,0,0,0,0
0.729000000,1,0,0,0
0.738979000,0,0,0,0
0.739002000,0,1,0,0
0.748981000,0,0,0,0
0.749005000,1,0,0,0
0.758984000,0,0,0,0
0.759007000,0,0,1,0
0.768988000,0,0,0,0
0.769011000,1,0,0,0
0.778990000,0,0,0,0
0.779014000,0,1,0,0
0.788993000,0,0,0,0
0.789016000,1,0,0,0
0.798995000,0,0,0,0
0.799019000,0,1,0,0
0.808998000,0,0,0,0
0.809021000,1,0,0,0
0.819002000,0,0,0,0
0.819025000,0,0,1,0
0.829004000,0,0,0,0
0.829028000,1,0,0,0
0.839007000,0,0,0,0
