Time [s],Channel 2,Channel 3
0.000000000,0,1
0.030355000,0,0
0.031181000,1,0
0.032115000,0,1
0.080471000,0,0
0.081297000,1,0
0.082230000,0,0
0.082231000,0,1
0.130587000,0,0
0.131413000,1,0
0.132346000,0,1
0.180702000,0,0
0.181528000,1,0
0.182462000,0,1
0.230818000,0,0
0.231644000,1,0
0.232577000,0,0
0.232578000,0,1
0.280933000,0,0
0.281759000,1,0
0.282693000,0,1
0.331049000,0,0
0.331875000,1,0
0.332809000,0,1
0.381165000,0,0
0.381991000,1,0
0.382924000,0,1
0.431280000,0,0
0.432106000,1,0
0.433040000,0,1
0.481396000,0,0
0.482222000,1,0
0.483155000,0,0
0.483156000,0,1
0.531512000,0,0
0.532338000,1,0
0.533271000,0,1
0.581627000,0,0
0.582453000,1,0
0.583387000,0,1
0.631743000,0,0
0.632569000,1,0
0.633502000,0,0
0.633503000,0,1
0.681858000,0,0
0.682684000,1,0
0.683618000,0,1
0.731974000,0,0
0.732800000,1,0
0.733734000,0,1
0.782090000,0,0
0.782916000,1,0
0.783849000,0,1
0.832205000,0,0
0.833031000,1,0
0.833965000,0,1
0.882321000,0,0
0.883147000,1,0
0.884080000,0,0
0.884081000,0,1
0.932437000,0,0
0.933263000,1,0
0.934196000,0,1
0.982552000,0,0
0.983378000,1,0
0.984312000,0,1
1.032668000,0,0
1.033494000,1,0
1.034427000,0,0
1.034428000,0,1
1.082783000,0,0
1.083609000,1,0
1.084543000,0,1
1.132899000,0,0
1.133725000,1,0
1.134659000,0,1
1.183015000,0,0
1.183841000,1,0
1.184774000,0,1
1.233130000,0,0
1.233956000,1,0
1.234890000,0,1
1.283246000,0,0
1.284072000,1,0
1.285005000,0,0
1.285006000,0,1
1.333361000,0,0
1.334188000,1,0
1.335121000,0,1
1.383477000,0,0
1.384307000,1,0
1.392424000,0,0
1.392425000,0,1
1.433593000,0,0
1.434419000,1,0
1.442536000,0,0
1.442537000,0,1
1.483708000,0,0
1.484534000,1,0
1.492652000,0,1
1.533824000,0,0
1.534650000,1,0
1.542767000,0,0
1.542768000,0,1
1.583940000,0,0
1.584766000,1,0
1.592883000,0,1
1.634055000,0,0
1.634881000,1,0
1.642999000,0,1
1.684171000,0,0
1.684997000,1,0
1.693114000,0,0
1.693115000,0,1
1.734286000,0,0
1.735113000,1,0
1.743230000,0,1
1.784402000,0,0
1.785228000,1,0
1.793345000,0,0
1.793346000,0,1
1.834518000,0,0
1.835344000,1,0
1.843461000,0,0
1.843462000,0,1
1.884633000,0,0
1.885463000,1,0
1.893581000,0,1
1.934749000,0,0
1.935579000,1,0
1.943743000,0,1
1.984865000,0,0
1.985698000,1,0
1.993815000,0,0
1.993816000,0,1
2.034980000,0,0
2.035814000,1,0
2.043931000,0,1
2.085096000,0,0
2.085926000,1,0
2.094089000,0,0
2.094090000,0,1
2.135211000,0,0
2.136045000,1,0
2.144162000,0,0
2.144163000,0,1
2.185327000,0,0
2.186161000,1,0
2.194278000,0,1
2.235443000,0,0
2.236273000,1,0
2.244436000,0,1
2.285558000,0,0
2.286392000,1,0
2.294509000,0,1
2.335674000,0,0
2.336508000,1,0
2.344625000,0,1
2.385789000,0,0
2.386620000,1,0
2.394783000,0,1
2.435905000,0,0
2.436739000,1,0
2.444856000,0,1
2.486021000,0,0
2.486854000,1,0
2.494972000,0,1
2.536136000,0,0
2.536967000,1,0
2.545084000,0,1
2.586252000,0,0
2.587086000,1,0
2.595203000,0,1
2.636368000,0,0
2.637201000,1,0
2.645319000,0,1
2.686483000,0,0
2.687313000,1,0
2.695477000,0,0
2.695478000,0,1
2.736599000,0,0
2.737433000,1,0
2.745550000,0,1
2.786715000,0,0
2.787548000,1,0
2.795665000,0,0
2.795666000,0,1
2.836830000,0,0
2.837661000,1,0
2.845824000,0,1
2.886946000,0,0
2.887780000,1,0
2.895897000,0,1
2.937062000,0,0
2.937895000,1,0
2.946013000,0,1
2.987177000,0,0
2.988007000,1,0
2.996125000,0,1
3.037293000,0,0
3.038127000,1,0
3.046244000,0,1
3.087409000,0,0
3.088239000,1,0
3.096402000,0,0
3.096403000,0,1
3.137524000,0,0
3.138358000,1,0
3.146475000,0,1
3.187640000,0,0
3.188473000,1,0
3.196591000,0,1
3.237755000,0,0
3.238586000,1,0
3.246749000,0,0
3.246750000,0,1
3.287871000,0,0
3.288705000,1,0
3.296822000,0,1
3.337987000,0,0
3.338821000,1,0
3.346938000,0,1
3.388102000,0,0
3.388933000,1,0
3.397096000,0,1
3.438218000,0,0
3.439052000,1,0
3.447169000,0,1
3.488334000,0,0
3.489167000,1,0
3.497284000,0,0
3.497285000,0,1
3.538449000,0,0
3.539280000,1,0
3.547443000,0,0
3.547444000,0,1
3.588565000,0,0
3.589399000,1,0
3.597516000,0,1
3.638681000,0,0
3.639514000,1,0
3.647631000,0,0
3.647632000,0,1
3.688796000,0,0
3.689626000,1,0
3.697790000,0,1
3.738912000,0,0
3.739746000,1,0
3.747863000,0,1
3.789027000,0,0
3.789861000,1,0
3.797978000,0,0
3.797979000,0,1
3.839143000,0,0
3.839973000,1,0
3.848137000,0,1
3.889259000,0,0
3.890092000,1,0
3.898210000,0,1
3.939374000,0,0
3.940208000,1,0
3.948325000,0,0
3.948326000,0,1
3.989490000,0,0
3.990320000,1,0
3.998484000,0,1
4.039606000,0,0
4.040439000,1,0
4.048557000,0,1
4.089721000,0,0
4.090555000,1,0
4.098672000,0,0
4.098673000,0,1
4.139837000,0,0
4.140667000,1,0
4.148831000,0,1
4.189953000,0,0
4.190786000,1,0
4.198903000,0,0
4.198904000,0,1
4.240068000,0,0
4.240902000,1,0
4.249019000,0,0
4.249020000,0,1
4.290184000,0,0
4.291014000,1,0
4.299177000,0,0
4.299178000,0,1
4.340300000,0,0
4.341133000,1,0
4.349250000,0,0
4.349251000,0,1
4.390415000,0,0
4.391249000,1,0
4.399366000,0,1
4.440531000,0,0
4.441361000,1,0
4.449525000,0,1
4.490646000,0,0
4.491480000,1,0
4.499597000,0,0
4.499598000,0,1
4.540762000,0,0
4.541596000,1,0
4.549713000,0,1
4.590878000,0,0
4.591708000,1,0
4.599871000,0,0
4.599872000,0,1
4.640993000,0,0
4.641827000,1,0
4.649944000,0,0
4.649945000,0,1
4.691109000,0,0
4.691943000,1,0
4.700033000,0,0
4.700034000,0,1
4.741225000,0,0
4.742055000,1,0
4.750192000,0,0
4.750193000,0,1
4.791340000,0,0
4.792174000,1,0
4.800265000,0,1
4.841456000,0,0
4.842290000,1,0
4.850380000,0,0
4.850381000,0,1
4.891572000,0,0
4.892402000,1,0
4.900539000,0,1
4.941687000,0,0
4.942521000,1,0
4.950612000,0,1
4.991803000,0,0
4.992636000,1,0
5.000727000,0,0
5.000728000,0,1
5.041918000,0,0
5.042749000,1,0
5.050888000,0,1
5.092034000,0,0
5.092868000,1,0
5.100972000,0,1
5.142150000,0,0
5.142983000,1,0
5.151087000,0,0
5.151088000,0,1
5.192265000,0,0
5.193095000,1,0
5.201246000,0,1
5.242381000,0,0
5.243215000,1,0
5.251319000,0,1
5.292497000,0,0
5.293330000,1,0
5.301434000,0,0
5.301435000,0,1
5.342612000,0,0
5.343442000,1,0
5.351593000,0,1
5.392728000,0,0
5.393562000,1,0
5.401666000,0,1
5.442844000,0,0
5.443677000,1,0
5.451781000,0,0
5.451782000,0,1
5.492959000,0,0
5.493789000,1,0
5.501940000,0,1
5.543075000,0,0
5.543909000,1,0
5.552013000,0,1
5.593190000,0,0
5.594024000,1,0
5.602128000,0,1
5.643306000,0,0
5.644136000,1,0
5.652287000,0,1
5.693422000,0,0
5.694255000,1,0
5.702359000,0,0
5.702360000,0,1
5.743537000,0,0
5.744371000,1,0
5.752475000,0,0
5.752476000,0,1
5.793653000,0,0
5.794483000,1,0
5.802633000,0,0
5.802634000,0,1
5.843769000,0,0
5.844602000,1,0
5.852706000,0,0
5.852707000,0,1
5.893884000,0,0
5.894718000,1,0
5.902822000,0,1
5.944000000,0,0
5.944830000,1,0
5.952981000,0,1
5.994116000,0,0
5.994949000,1,0
6.003053000,0,0
6.003054000,0,1
6.044231000,0,0
6.045065000,1,0
6.053169000,0,1
6.094347000,0,0
6.095177000,1,0
6.103327000,0,0
6.103328000,0,1
6.144462000,0,0
6.145296000,1,0
6.153400000,0,0
6.153401000,0,1
6.194578000,0,0
6.195412000,1,0
6.203516000,0,1
6.244694000,0,0
6.245524000,1,0
6.253674000,0,0
6.253675000,0,1
6.294809000,0,0
6.295643000,1,0
6.303747000,0,1
6.344925000,0,0
6.345759000,1,0
6.353863000,0,1
6.395041000,0,0
6.395871000,1,0
6.404021000,0,0
6.404022000,0,1
6.445156000,0,0
6.445990000,1,0
6.454094000,0,1
6.495272000,0,0
6.496106000,1,0
6.504210000,0,1
6.545388000,0,0
6.546218000,1,0
6.554368000,0,0
6.554369000,0,1
6.595503000,0,0
6.596337000,1,0
