Time [s],Channel 0,Channel 1
0.000000000,0,0
0.022165000,1,0
0.022982000,0,0
0.022983000,0,1
0.022985000,0,0
0.072280000,1,0
0.073098000,0,1
0.073100000,0,0
0.122396000,1,0
0.123213000,0,0
0.123214000,0,1
0.123216000,0,0
0.172511000,1,0
0.173329000,0,1
0.173331000,0,0
0.222627000,1,0
0.223444000,0,0
0.223445000,0,1
0.223447000,0,0
0.272742000,1,0
0.273560000,0,1
0.273562000,0,0
0.322858000,1,0
0.323676000,0,1
0.323678000,0,0
0.372973000,1,0
0.373791000,0,1
0.373793000,0,0
0.423089000,1,0
0.423907000,0,1
0.423909000,0,0
0.473204000,1,0
0.474022000,0,0
0.474023000,0,1
0.474024000,0,0
0.523320000,1,0
0.524138000,0,1
0.524140000,0,0
0.573435000,1,0
0.574253000,0,0
0.574254000,0,1
0.574255000,0,0
0.623551000,1,0
0.624369000,0,1
0.624371000,0,0
0.673666000,1,0
0.674484000,0,0
0.674485000,0,1
0.674486000,0,0
0.723782000,1,0
0.724600000,0,1
0.724602000,0,0
0.773898000,1,0
0.774715000,0,0
0.774716000,0,1
0.774717000,0,0
0.824013000,1,0
0.824831000,0,1
0.824833000,0,0
0.874129000,1,0
0.874946000,0,0
0.874947000,0,1
0.874948000,0,0
0.924244000,1,0
0.925062000,0,1
0.925064000,0,0
0.974360000,1,0
0.975177000,0,0
0.975178000,0,1
0.975179000,0,0
1.024475000,1,0
1.025293000,0,1
1.025295000,0,0
1.074591000,1,0
1.075408000,0,0
1.075409000,0,1
1.075410000,0,0
1.124706000,1,0
1.125524000,0,1
1.125526000,0,0
1.174822000,1,0
1.175639000,0,0
1.175640000,0,1
1.175641000,0,0
1.224937000,1,0
1.225755000,0,1
1.225757000,0,0
1.275053000,1,0
1.275870000,0,0
1.275871000,0,1
1.275872000,0,0
1.325168000,1,0
1.325986000,0,1
1.325988000,0,0
1.375284000,1,0
1.376101000,0,0
1.376102000,0,1
1.376103000,0,0
1.425399000,1,0
1.426217000,0,1
1.426219000,0,0
1.475515000,1,0
1.476332000,0,0
1.476333000,0,1
1.476334000,0,0
1.525630000,1,0
1.526448000,0,1
1.526450000,0,0
1.575746000,1,0
1.576563000,0,0
1.576564000,0,1
1.576565000,0,0
1.625861000,1,0
1.626679000,0,1
1.626681000,0,0
1.675977000,1,0
1.676794000,0,0
1.676795000,0,1
1.676796000,0,0
1.726092000,1,0
1.726910000,0,1
1.726912000,0,0
1.776208000,1,0
1.777025000,0,0
1.777026000,0,1
1.777027000,0,0
1.826323000,1,0
1.827141000,0,1
1.827143000,0,0
1.876439000,1,0
1.877256000,0,0
1.877257000,0,1
1.877258000,0,0
1.926554000,1,0
1.927372000,0,1
1.927374000,0,0
1.976670000,1,0
1.977487000,0,0
1.977488000,0,1
1.977489000,0,0
2.026785000,1,0
2.027603000,0,1
2.027605000,0,0
2.076901000,1,0
2.077718000,0,0
2.077719000,0,1
2.077720000,0,0
2.127016000,1,0
2.127834000,0,1
2.127836000,0,0
2.177132000,1,0
2.177949000,0,0
2.177950000,0,1
2.177951000,0,0
2.227247000,1,0
2.228065000,0,1
2.228067000,0,0
2.277363000,1,0
2.278180000,0,0
2.278181000,0,1
2.278182000,0,0
2.327478000,1,0
2.328296000,0,1
2.328298000,0,0
2.377594000,1,0
2.378411000,0,0
2.378412000,0,1
2.378413000,0,0
2.427709000,1,0
2.428527000,0,1
2.428529000,0,0
2.477825000,1,0
2.478642000,0,0
2.478643000,0,1
2.478644000,0,0
2.527940000,1,0
2.528758000,0,1
2.528760000,0,0
2.578056000,1,0
2.578873000,0,0
2.578874000,0,1
2.578876000,0,0
2.628171000,1,0
2.628989000,0,1
2.628991000,0,0
2.678287000,1,0
2.679104000,0,0
2.679105000,0,1
2.679107000,0,0
2.728402000,1,0
2.729220000,0,1
2.729222000,0,0
2.778518000,1,0
2.779335000,0,0
2.779336000,0,1
2.779338000,0,0
2.828633000,1,0
2.829451000,0,1
2.829453000,0,0
2.878749000,1,0
2.879566000,0,0
2.879567000,0,1
2.879569000,0,0
2.928864000,1,0
2.929682000,0,1
2.929684000,0,0
2.978980000,1,0
2.979797000,0,0
2.979798000,0,1
2.979800000,0,0
3.029095000,1,0
3.029913000,0,1
3.029915000,0,0
3.079211000,1,0
3.080028000,0,0
3.080029000,0,1
3.080031000,0,0
3.129326000,1,0
3.130144000,0,1
3.130146000,0,0
3.179442000,1,0
3.180259000,0,0
3.180260000,0,1
3.180262000,0,0
3.229557000,1,0
3.230375000,0,1
3.230377000,0,0
3.279673000,1,0
3.280490000,0,0
3.280491000,0,1
3.280493000,0,0
3.329788000,1,0
3.330606000,0,1
3.330608000,0,0
3.379904000,1,0
3.380721000,0,0
3.380722000,0,1
3.380724000,0,0
3.430019000,1,0
3.430837000,0,1
3.430839000,0,0
3.480135000,1,0
3.480952000,0,0
3.480953000,0,1
3.480955000,0,0
3.530250000,1,0
3.531068000,0,1
3.531070000,0,0
3.580366000,1,0
3.581183000,0,0
3.581184000,0,1
3.581186000,0,0
3.630481000,1,0
3.631299000,0,1
3.631301000,0,0
3.680597000,1,0
3.681414000,0,0
3.681415000,0,1
3.681417000,0,0
3.730712000,1,0
3.731530000,0,1
3.731532000,0,0
3.780828000,1,0
3.781645000,0,0
3.781646000,0,1
3.781648000,0,0
3.830943000,1,0
3.831761000,0,1
3.831763000,0,0
3.881059000,1,0
3.881876000,0,0
3.881877000,0,1
3.881879000,0,0
3.931174000,1,0
3.931992000,0,1
3.931994000,0,0
3.981290000,1,0
3.982107000,0,0
3.982108000,0,1
3.982110000,0,0
4.031405000,1,0
4.032223000,0,1
4.032225000,0,0
4.081521000,1,0
4.082338000,0,0
4.082339000,0,1
4.082341000,0,0
4.131636000,1,0
4.132454000,0,1
4.132456000,0,0
4.181752000,1,0
4.182569000,0,0
4.182570000,0,1
4.182572000,0,0
4.231867000,1,0
4.232685000,0,1
4.232687000,0,0
4.281983000,1,0
4.282800000,0,0
4.282801000,0,1
4.282803000,0,0
4.332098000,1,0
4.332916000,0,1
4.332918000,0,0
4.382214000,1,0
4.383031000,0,0
4.383032000,0,1
4.383034000,0,0
4.432329000,1,0
4.433147000,0,1
4.433149000,0,0
4.482445000,1,0
4.483262000,0,0
4.483263000,0,1
4.483265000,0,0
4.532560000,1,0
4.533378000,0,1
4.533380000,0,0
4.582676000,1,0
4.583493000,0,0
4.583494000,0,1
4.583496000,0,0
4.632791000,1,0
4.633609000,0,1
4.633611000,0,0
4.682907000,1,0
4.683724000,0,0
4.683725000,0,1
4.683727000,0,0
4.733022000,1,0
4.733840000,0,1
4.733842000,0,0
4.783138000,1,0
4.783955000,0,0
4.783956000,0,1
4.783958000,0,0
4.833253000,1,0
4.834071000,0,1
4.834073000,0,0
4.883369000,1,0
4.884186000,0,0
4.884187000,0,1
4.884189000,0,0
4.933484000,1,0
4.934302000,0,1
4.934304000,0,0
4.983600000,1,0
4.984417000,0,0
4.984418000,0,1
4.984420000,0,0
5.033715000,1,0
5.034533000,0,1
5.034535000,0,0
5.083831000,1,0
5.084648000,0,0
5.084649000,0,1
5.084651000,0,0
5.133946000,1,0
5.134764000,0,1
5.134766000,0,0
5.184062000,1,0
5.184879000,0,0
5.184880000,0,1
5.184882000,0,0
5.234177000,1,0
5.234995000,0,1
5.234997000,0,0
5.284293000,1,0
5.285110000,0,0
5.285111000,0,1
5.285113000,0,0
5.334408000,1,0
5.335226000,0,1
5.335228000,0,0
5.384524000,1,0
5.385341000,0,0
5.385342000,0,1
5.385344000,0,0
5.434639000,1,0
5.435457000,0,1
5.435459000,0,0
5.484755000,1,0
5.485572000,0,0
5.485573000,0,1
5.485575000,0,0
5.534870000,1,0
5.535688000,0,1
5.535690000,0,0
5.584986000,1,0
5.585803000,0,0
5.585804000,0,1
5.585806000,0,0
5.635101000,1,0
5.635919000,0,1
5.635921000,0,0
5.685217000,1,0
5.686034000,0,0
5.686035000,0,1
5.686037000,0,0
5.735332000,1,0
5.736150000,0,1
5.736152000,0,0
5.785448000,1,0
5.786265000,0,0
5.786266000,0,1
5.786268000,0,0
5.835563000,1,0
5.836381000,0,1
5.836383000,0,0
5.885679000,1,0
5.886496000,0,0
5.886497000,0,1
5.886499000,0,0
5.935794000,1,0
5.936612000,0,1
5.936614000,0,0
5.985910000,1,0
5.986727000,0,0
5.986728000,0,1
5.986730000,0,0
6.036025000,1,0
6.036843000,0,1
6.036845000,0,0
6.086141000,1,0
6.086958000,0,0
6.086959000,0,1
6.086961000,0,0
6.136256000,1,0
6.137074000,0,1
6.137076000,0,0
6.186372000,1,0
6.187189000,0,0
6.187190000,0,1
6.187192000,0,0
6.236487000,1,0
6.237305000,0,1
6.237307000,0,0
6.286603000,1,0
