Time [s],Channel 0,Channel 1
0.000000000,0,0
0.036387000,1,0
0.037205000,0,1
0.037207000,0,0
0.086402000,1,0
0.087220000,0,0
0.087221000,0,1
0.087222000,0,0
0.136416000,1,0
0.137234000,0,1
0.137236000,0,0
0.186432000,1,0
0.187249000,0,0
0.187250000,0,1
0.187252000,0,0
0.236445000,1,0
0.237263000,0,1
0.237265000,0,0
0.286461000,1,0
0.287279000,0,1
0.287281000,0,0
0.336477000,1,0
0.337294000,0,0
0.337295000,0,1
0.337296000,0,0
0.386490000,1,0
0.387308000,0,1
0.387310000,0,0
0.436506000,1,0
0.437323000,0,0
0.437324000,0,1
0.437326000,0,0
0.486519000,1,0
0.487337000,0,1
0.487339000,0,0
0.536535000,1,0
0.537353000,0,1
0.537355000,0,0
0.586548000,1,0
0.587366000,0,1
0.587368000,0,0
0.636564000,1,0
0.637382000,0,1
0.637384000,0,0
0.686578000,1,0
0.687395000,0,0
0.687396000,0,1
0.687397000,0,0
0.736593000,1,0
0.737411000,0,1
0.737413000,0,0
0.786609000,1,0
0.787427000,0,1
0.787429000,0,0
0.836623000,1,0
0.837440000,0,0
0.837441000,0,1
0.837442000,0,0
0.886638000,1,0
0.887456000,0,1
0.887458000,0,0
0.936652000,1,0
0.937470000,0,1
0.937472000,0,0
0.986668000,1,0
0.987485000,0,0
0.987486000,0,1
0.987487000,0,0
1.036681000,1,0
1.037499000,0,1
1.037501000,0,0
1.086697000,1,0
1.087515000,0,1
1.087517000,0,0
1.136710000,1,0
1.137528000,0,0
1.137529000,0,1
1.137530000,0,0
1.186726000,1,0
1.187544000,0,1
1.187546000,0,0
1.236740000,1,0
1.237557000,0,0
1.237558000,0,1
1.237560000,0,0
1.286755000,1,0
1.287573000,0,1
1.287575000,0,0
1.336769000,1,0
1.337587000,0,1
1.337589000,0,0
1.386785000,1,0
1.387602000,0,0
1.387603000,0,1
1.387604000,0,0
1.436800000,1,0
1.437618000,0,1
1.437620000,0,0
1.486814000,1,0
1.487631000,0,0
1.487632000,0,1
1.487634000,0,0
1.536830000,1,0
1.537647000,0,0
1.537648000,0,1
1.537649000,0,0
1.586843000,1,0
1.587661000,0,1
1.587663000,0,0
1.636859000,1,0
1.637676000,0,0
1.637677000,0,1
1.637679000,0,0
1.686872000,1,0
1.687690000,0,1
1.687692000,0,0
1.736888000,1,0
1.737706000,0,1
1.737708000,0,0
1.786901000,1,0
1.787719000,0,1
1.787721000,0,0
1.836917000,1,0
1.837735000,0,1
1.837737000,0,0
1.886931000,1,0
1.887748000,0,0
1.887749000,0,1
1.887751000,0,0
1.936946000,1,0
1.937764000,0,1
1.937766000,0,0
1.986962000,1,0
1.987780000,0,1
1.987782000,0,0
2.036975000,1,0
2.037793000,0,0
2.037794000,0,1
2.037795000,0,0
2.086991000,1,0
2.087809000,0,1
2.087811000,0,0
2.137005000,1,0
2.137822000,0,0
2.137823000,0,1
2.137825000,0,0
2.187020000,1,0
2.187838000,0,1
2.187840000,0,0
2.237034000,1,0
2.237851000,0,0
