Time [s],Channel 0,Channel 1
0.000000000,0,0
0.002589000,1,0
0.003407000,0,0
0.003408000,0,1
0.003409000,0,0
0.052705000,1,0
0.053522000,0,0
0.053523000,0,1
0.053525000,0,0
0.102820000,1,0
0.103638000,0,0
0.103639000,0,1
0.103640000,0,0
0.152936000,1,0
0.153753000,0,0
0.153754000,0,1
0.153756000,0,0
0.203051000,1,0
0.203869000,0,0
0.203870000,0,1
0.203871000,0,0
0.253167000,1,0
0.253984000,0,0
0.253985000,0,1
0.253987000,0,0
0.303282000,1,0
0.304100000,0,0
0.304101000,0,1
0.304102000,0,0
0.353398000,1,0
0.354215000,0,0
0.354216000,0,1
0.354218000,0,0
0.403513000,1,0
0.404331000,0,0
0.404332000,0,1
0.404333000,0,0
0.453629000,1,0
0.454446000,0,0
0.454447000,0,1
0.454449000,0,0
0.503744000,1,0
0.504562000,0,1
0.504564000,0,0
0.553860000,1,0
0.554677000,0,0
0.554678000,0,1
0.554680000,0,0
0.603975000,1,0
0.604793000,0,1
0.604795000,0,0
0.654091000,1,0
0.654909000,0,1
0.654911000,0,0
0.704206000,1,0
0.705024000,0,1
0.705026000,0,0
0.754322000,1,0
0.755140000,0,1
0.755142000,0,0
0.804437000,1,0
0.805255000,0,0
0.805256000,0,1
0.805257000,0,0
0.854553000,1,0
0.855370000,0,0
0.855371000,0,1
0.855373000,0,0
0.904668000,1,0
0.905486000,0,0
0.905487000,0,1
0.905488000,0,0
0.954784000,1,0
0.955601000,0,0
0.955602000,0,1
0.955604000,0,0
1.004899000,1,0
1.005717000,0,0
1.005718000,0,1
1.005719000,0,0
1.055015000,1,0
1.055832000,0,0
1.055833000,0,1
1.055835000,0,0
1.105130000,1,0
1.105948000,0,0
1.105949000,0,1
1.105950000,0,0
1.155246000,1,0
1.156063000,0,0
1.156064000,0,1
1.156066000,0,0
1.205361000,1,0
1.206179000,0,0
1.206180000,0,1
1.206181000,0,0
1.255477000,1,0
1.256294000,0,0
1.256295000,0,1
1.256297000,0,0
1.305592000,1,0
1.306410000,0,0
1.306411000,0,1
1.306412000,0,0
1.355708000,1,0
1.356525000,0,0
1.356526000,0,1
1.356528000,0,0
1.405823000,1,0
1.406641000,0,1
1.406643000,0,0
1.455939000,1,0
1.456757000,0,1
1.456759000,0,0
1.506054000,1,0
1.506872000,0,1
1.506890000,0,0
1.556170000,1,0
1.556988000,0,1
1.556990000,0,0
1.606285000,1,0
1.607103000,0,1
1.607105000,0,0
1.656401000,1,0
1.657219000,0,1
1.657221000,0,0
1.706516000,1,0
1.707334000,0,0
1.707335000,0,1
1.707336000,0,0
1.756632000,1,0
1.757450000,0,1
1.757452000,0,0
1.806747000,1,0
1.807565000,0,0
1.807566000,0,1
1.807567000,0,0
1.856863000,1,0
1.857680000,0,0
1.857681000,0,1
1.857683000,0,0
1.906978000,1,0
1.907796000,0,0
1.907797000,0,1
1.907798000,0,0
1.957094000,1,0
1.957911000,0,0
1.957912000,0,1
1.957914000,0,0
2.007209000,1,0
2.008027000,0,0
2.008028000,0,1
2.008033000,0,0
2.057325000,1,0
2.058142000,0,0
2.058143000,0,1
2.058152000,0,0
2.107440000,1,0
2.108258000,0,1
2.108268000,0,0
2.157556000,1,0
2.158373000,0,0
2.158374000,0,1
2.158380000,0,0
2.207671000,1,0
2.208489000,0,1
2.208499000,0,0
2.257787000,1,0
2.258605000,0,1
2.258611000,0,0
2.307902000,1,0
2.308720000,0,1
2.308730000,0,0
2.358018000,1,0
2.358835000,0,0
