Time [s],Channel 0,Channel 1
0.000000000,0,0
0.023236000,1,0
0.024054000,0,1
0.024056000,0,0
0.073351000,1,0
0.074169000,0,0
0.074170000,0,1
0.074171000,0,0
0.123467000,1,0
0.124285000,0,1
0.124287000,0,0
0.173583000,1,0
0.174400000,0,0
0.174401000,0,1
0.174402000,0,0
0.223698000,1,0
0.224516000,0,1
0.224518000,0,0
0.273814000,1,0
0.274631000,0,0
0.274632000,0,1
0.274633000,0,0
0.323929000,1,0
0.324747000,0,1
0.324749000,0,0
0.374045000,1,0
0.374862000,0,0
0.374863000,0,1
0.374864000,0,0
0.424160000,1,0
0.424978000,0,1
0.424980000,0,0
0.474276000,1,0
0.475093000,0,0
0.475094000,0,1
0.475095000,0,0
0.524391000,1,0
0.525209000,0,1
0.525211000,0,0
0.574507000,1,0
0.575324000,0,0
0.575325000,0,1
0.575326000,0,0
0.624622000,1,0
0.625440000,0,1
0.625442000,0,0
0.674738000,1,0
0.675555000,0,0
0.675556000,0,1
0.675557000,0,0
0.724853000,1,0
0.725671000,0,1
0.725673000,0,0
0.774969000,1,0
0.775786000,0,0
0.775787000,0,1
0.775788000,0,0
0.825084000,1,0
0.825902000,0,1
0.825904000,0,0
0.875200000,1,0
0.876017000,0,0
0.876018000,0,1
0.876019000,0,0
0.925315000,1,0
0.926133000,0,1
0.926135000,0,0
0.975431000,1,0
0.976248000,0,0
0.976249000,0,1
0.976250000,0,0
1.025546000,1,0
1.026364000,0,1
1.026366000,0,0
1.075662000,1,0
1.076479000,0,0
1.076480000,0,1
1.076481000,0,0
1.125777000,1,0
1.126595000,0,1
1.126597000,0,0
1.175893000,1,0
1.176710000,0,0
1.176711000,0,1
1.176712000,0,0
1.226008000,1,0
1.226826000,0,1
1.226828000,0,0
1.276124000,1,0
1.276941000,0,0
1.276942000,0,1
1.276943000,0,0
1.326239000,1,0
1.327057000,0,1
1.327059000,0,0
1.376355000,1,0
1.377172000,0,0
1.377173000,0,1
1.377174000,0,0
1.426470000,1,0
1.427288000,0,1
1.427290000,0,0
1.476586000,1,0
1.477403000,0,0
1.477404000,0,1
1.477405000,0,0
1.526701000,1,0
1.527519000,0,1
1.527521000,0,0
1.576817000,1,0
1.577634000,0,0
1.577635000,0,1
1.577636000,0,0
1.626932000,1,0
1.627750000,0,1
1.627752000,0,0
1.677048000,1,0
1.677865000,0,0
1.677866000,0,1
1.677867000,0,0
1.727163000,1,0
1.727981000,0,1
1.727983000,0,0
1.777279000,1,0
1.778096000,0,0
1.778097000,0,1
1.778098000,0,0
1.827394000,1,0
1.828212000,0,1
1.828214000,0,0
1.877510000,1,0
1.878327000,0,0
1.878328000,0,1
1.878329000,0,0
1.927625000,1,0
1.928443000,0,1
1.928445000,0,0
1.977741000,1,0
1.978558000,0,0
1.978559000,0,1
1.978565000,0,0
2.027856000,1,0
2.028674000,0,1
2.028688000,0,0
2.077972000,1,0
2.078789000,0,0
2.078790000,0,1
2.078791000,0,0
2.128087000,1,0
2.128905000,0,1
2.128907000,0,0
2.178203000,1,0
2.179020000,0,0
2.179021000,0,1
2.179034000,0,0
2.228318000,1,0
2.229136000,0,1
2.229138000,0,0
2.278434000,1,0
2.279251000,0,0
2.279252000,0,1
2.279254000,0,0
2.328549000,1,0
2.329367000,0,1
2.329380000,0,0
2.378665000,1,0
2.379482000,0,0
2.379483000,0,1
2.379485000,0,0
2.428780000,1,0
2.429598000,0,1
2.429611000,0,0
2.478896000,1,0
2.479713000,0,0
2.479714000,0,1
2.479716000,0,0
2.529011000,1,0
2.529829000,0,1
2.529831000,0,0
2.579127000,1,0
2.579944000,0,0
2.579945000,0,1
2.579958000,0,0
2.629242000,1,0
2.630060000,0,1
2.630062000,0,0
2.679358000,1,0
2.680175000,0,0
2.680176000,0,1
2.680192000,0,0
2.729473000,1,0
2.730291000,0,1
2.730293000,0,0
2.779589000,1,0
2.780406000,0,0
2.780407000,0,1
2.780413000,0,0
2.829704000,1,0
2.830522000,0,1
2.830535000,0,0
2.879820000,1,0
2.880637000,0,0
2.880638000,0,1
2.880640000,0,0
2.929935000,1,0
2.930753000,0,1
2.930755000,0,0
2.980051000,1,0
2.980868000,0,0
2.980869000,0,1
2.980871000,0,0
3.030166000,1,0
3.030984000,0,1
3.030994000,0,0
3.080282000,1,0
3.081099000,0,0
3.081100000,0,1
3.081102000,0,0
3.130397000,1,0
3.131215000,0,1
3.131228000,0,0
3.180513000,1,0
3.181330000,0,0
3.181331000,0,1
3.181333000,0,0
3.230628000,1,0
3.231446000,0,1
3.231459000,0,0
3.280744000,1,0
3.281561000,0,0
3.281562000,0,1
3.281564000,0,0
3.330859000,1,0
3.331677000,0,1
3.331683000,0,0
3.380975000,1,0
3.381792000,0,0
3.381793000,0,1
3.381806000,0,0
3.431090000,1,0
3.431908000,0,1
3.431910000,0,0
3.481206000,1,0
3.482023000,0,0
3.482024000,0,1
3.482040000,0,0
3.531321000,1,0
3.532139000,0,1
3.532141000,0,0
3.581437000,1,0
3.582254000,0,0
3.582255000,0,1
3.582257000,0,0
3.631552000,1,0
3.632370000,0,1
3.632380000,0,0
3.681668000,1,0
3.682485000,0,0
3.682486000,0,1
3.682499000,0,0
3.731783000,1,0
3.732601000,0,1
3.732603000,0,0
3.781899000,1,0
3.782716000,0,0
3.782717000,0,1
3.782719000,0,0
3.832014000,1,0
3.832832000,0,1
3.832834000,0,0
3.882130000,1,0
3.882947000,0,0
3.882948000,0,1
3.882950000,0,0
3.932245000,1,0
3.933063000,0,1
3.933080000,0,0
3.982361000,1,0
3.983178000,0,0
3.983179000,0,1
3.983181000,0,0
4.032476000,1,0
4.033294000,0,1
4.033311000,0,0
4.082592000,1,0
4.083409000,0,0
4.083410000,0,1
4.083426000,0,0
4.132707000,1,0
4.133525000,0,1
4.133527000,0,0
4.182823000,1,0
4.183640000,0,0
4.183641000,0,1
4.183643000,0,0
4.232938000,1,0
4.233756000,0,1
4.233758000,0,0
4.283054000,1,0
4.283871000,0,0
4.283872000,0,1
4.283874000,0,0
4.333169000,1,0
4.333987000,0,1
4.334004000,0,0
4.383285000,1,0
4.384102000,0,0
4.384103000,0,1
4.384119000,0,0
4.433400000,1,0
4.434218000,0,1
4.434220000,0,0
4.483516000,1,0
4.484333000,0,0
4.484334000,0,1
4.484336000,0,0
4.533631000,1,0
4.534449000,0,1
4.534451000,0,0
4.583747000,1,0
4.584564000,0,0
4.584565000,0,1
