Time [s],Channel 0,Channel 1
0.000000000,0,0
0.017316000,1,0
0.018133000,0,0
0.018134000,0,1
0.018136000,0,0
0.067331000,1,0
0.068148000,0,0
0.068149000,0,1
0.068150000,0,0
0.117345000,1,0
0.118163000,0,1
0.118165000,0,0
0.167360000,1,0
0.168178000,0,1
0.168180000,0,0
0.217375000,1,0
0.218192000,0,0
0.218193000,0,1
0.218194000,0,0
0.267392000,1,0
0.268209000,0,0
0.268210000,0,1
0.268211000,0,0
0.317406000,1,0
0.318224000,0,1
0.318226000,0,0
0.367421000,1,0
0.368239000,0,1
0.368241000,0,0
0.417436000,1,0
0.418253000,0,0
0.418254000,0,1
0.418256000,0,0
0.467451000,1,0
0.468268000,0,0
0.468269000,0,1
0.468270000,0,0
0.517465000,1,0
0.518283000,0,1
0.518285000,0,0
0.567480000,1,0
0.568298000,0,1
0.568300000,0,0
0.617495000,1,0
0.618312000,0,0
0.618313000,0,1
0.618315000,0,0
0.667512000,1,0
0.668329000,0,0
0.668330000,0,1
0.668331000,0,0
0.717526000,1,0
0.718344000,0,1
0.718346000,0,0
0.767541000,1,0
0.768359000,0,1
0.768361000,0,0
0.817556000,1,0
0.818373000,0,0
0.818374000,0,1
0.818376000,0,0
0.867571000,1,0
0.868388000,0,0
0.868389000,0,1
0.868390000,0,0
0.917585000,1,0
0.918403000,0,1
0.918405000,0,0
0.967600000,1,0
0.968418000,0,1
0.968420000,0,0
1.017615000,1,0
1.018432000,0,0
1.018433000,0,1
1.018435000,0,0
1.067629000,1,0
1.068447000,0,0
1.068448000,0,1
1.068449000,0,0
1.117645000,1,0
1.118462000,0,0
1.118463000,0,1
1.118464000,0,0
1.167661000,1,0
1.168479000,0,1
1.168481000,0,0
1.217676000,1,0
1.218493000,0,0
1.218494000,0,1
1.218496000,0,0
1.267690000,1,0
1.268508000,0,1
1.268510000,0,0
1.317705000,1,0
1.318522000,0,0
1.318523000,0,1
1.318524000,0,0
1.367721000,1,0
1.368539000,0,1
1.368541000,0,0
1.417736000,1,0
1.418553000,0,0
1.418554000,0,1
1.418555000,0,0
1.467750000,1,0
1.468568000,0,1
1.468570000,0,0
1.517765000,1,0
1.518582000,0,0
1.518583000,0,1
1.518584000,0,0
1.567779000,1,0
1.568597000,0,1
1.568599000,0,0
1.617796000,1,0
1.618613000,0,0
1.618614000,0,1
1.618615000,0,0
1.667810000,1,0
1.668628000,0,1
1.668630000,0,0
1.717825000,1,0
1.718642000,0,0
1.718643000,0,1
1.718644000,0,0
1.767839000,1,0
1.768657000,0,1
1.768659000,0,0
1.817856000,1,0
1.818673000,0,0
1.818674000,0,1
1.818675000,0,0
1.867870000,1,0
1.868688000,0,1
1.868690000,0,0
1.917884000,1,0
1.918702000,0,1
1.918704000,0,0
1.967899000,1,0
1.968717000,0,1
1.968719000,0,0
2.017916000,1,0
2.018733000,0,0
2.018734000,0,1
2.018735000,0,0
2.067930000,1,0
2.068748000,0,1
2.068750000,0,0
2.117944000,1,0
2.118762000,0,1
2.118764000,0,0
2.167959000,1,0
2.168777000,0,1
2.168779000,0,0
2.217975000,1,0
2.218793000,0,0
2.218794000,0,1
2.218795000,0,0
2.267990000,1,0
2.268808000,0,1
2.268810000,0,0
2.318004000,1,0
2.318822000,0,1
2.318824000,0,0
2.368019000,1,0
2.368837000,0,1
2.368839000,0,0
2.418035000,1,0
2.418853000,0,1
2.418855000,0,0
2.468050000,1,0
2.468868000,0,1
2.468870000,0,0
2.518064000,1,0
2.518882000,0,1
2.518884000,0,0
2.568079000,1,0
2.568897000,0,1
2.568899000,0,0
2.618095000,1,0
2.618913000,0,1
2.618915000,0,0
2.668110000,1,0
2.668928000,0,1
2.668930000,0,0
2.718124000,1,0
2.718942000,0,1
2.718944000,0,0
2.768139000,1,0
2.768956000,0,0
2.768957000,0,1
2.768959000,0,0
2.818155000,1,0
2.818973000,0,1
2.818975000,0,0
2.868170000,1,0
2.868988000,0,1
2.868990000,0,0
2.918184000,1,0
2.919002000,0,1
2.919004000,0,0
2.968199000,1,0
2.969016000,0,0
2.969017000,0,1
2.969019000,0,0
3.018215000,1,0
3.019033000,0,1
3.019035000,0,0
3.068230000,1,0
3.069048000,0,1
3.069050000,0,0
3.118244000,1,0
3.119062000,0,1
3.119064000,0,0
3.168259000,1,0
3.169076000,0,0
3.169077000,0,1
3.169079000,0,0
3.218275000,1,0
3.219093000,0,1
3.219095000,0,0
3.268290000,1,0
3.269108000,0,1
3.269110000,0,0
3.318304000,1,0
3.319122000,0,1
3.319124000,0,0
3.368319000,1,0
3.369136000,0,0
3.369137000,0,1
3.369139000,0,0
3.418334000,1,0
3.419151000,0,0
3.419152000,0,1
3.419154000,0,0
3.468349000,1,0
3.469167000,0,1
3.469169000,0,0
3.518365000,1,0
3.519182000,0,0
3.519183000,0,1
3.519185000,0,0
3.568380000,1,0
3.569198000,0,1
3.569200000,0,0
3.618394000,1,0
3.619211000,0,0
3.619212000,0,1
3.619213000,0,0
3.668409000,1,0
3.669227000,0,1
3.669229000,0,0
3.718424000,1,0
3.719242000,0,0
3.719243000,0,1
3.719244000,0,0
3.768440000,1,0
3.769258000,0,1
3.769260000,0,0
3.818453000,1,0
3.819271000,0,1
3.819273000,0,0
3.868469000,1,0
3.869286000,0,0
3.869287000,0,1
3.869289000,0,0
3.918580000,1,0
3.919398000,0,1
3.919400000,0,0
3.968696000,1,0
3.969513000,0,0
3.969514000,0,1
3.969515000,0,0
4.018811000,1,0
4.019629000,0,1
4.019631000,0,0
4.068927000,1,0
4.069744000,0,0
4.069745000,0,1
4.069746000,0,0
4.119042000,1,0
4.119860000,0,1
4.119862000,0,0
4.169158000,1,0
4.169975000,0,0
4.169976000,0,1
4.169977000,0,0
4.219273000,1,0
4.220091000,0,1
4.220093000,0,0
4.269389000,1,0
4.270206000,0,0
4.270207000,0,1
4.270208000,0,0
4.319504000,1,0
4.320322000,0,1
4.320324000,0,0
4.369620000,1,0
4.370437000,0,0
4.370438000,0,1
4.370439000,0,0
4.419735000,1,0
4.420553000,0,1
4.420555000,0,0
4.469851000,1,0
4.470668000,0,0
4.470669000,0,1
4.470670000,0,0
4.519966000,1,0
4.520784000,0,1
4.520786000,0,0
4.570082000,1,0
4.570899000,0,0
4.570900000,0,1
4.570901000,0,0
4.620197000,1,0
4.621015000,0,1
4.621017000,0,0
4.670313000,1,0
4.671130000,0,0
4.671131000,0,1
4.671132000,0,0
4.720428000,1,0
4.721246000,0,1
4.721248000,0,0
4.770544000,1,0
4.771361000,0,0
4.771362000,0,1
4.771363000,0,0
4.820659000,1,0
4.821477000,0,1
4.821479000,0,0
4.870775000,1,0
4.871592000,0,0
4.871593000,0,1
4.871594000,0,0
4.920890000,1,0
4.921708000,0,1
4.921710000,0,0
4.971006000,1,0
4.971823000,0,0
4.971824000,0,1
4.971825000,0,0
5.021121000,1,0
5.021939000,0,1
5.021941000,0,0
5.071237000,1,0
5.072054000,0,0
5.072055000,0,1
5.072056000,0,0
5.121352000,1,0
5.122170000,0,1
5.122172000,0,0
5.171468000,1,0
5.172285000,0,0
5.172286000,0,1
5.172287000,0,0
5.221583000,1,0
