Time [s],Channel 0,Channel 1
0.000000000,0,0
0.011741000,1,0
0.012558000,0,0
0.012559000,0,1
0.012560000,0,0
0.061856000,1,0
0.062674000,0,1
0.062676000,0,0
0.111972000,1,0
0.112789000,0,0
0.112790000,0,1
0.112791000,0,0
0.162087000,1,0
0.162905000,0,1
0.162907000,0,0
0.212203000,1,0
0.213020000,0,0
0.213021000,0,1
0.213022000,0,0
0.262318000,1,0
0.263136000,0,1
0.263138000,0,0
0.312434000,1,0
0.313251000,0,0
0.313252000,0,1
0.313253000,0,0
0.362549000,1,0
0.363367000,0,1
0.363369000,0,0
0.412665000,1,0
0.413482000,0,0
0.413483000,0,1
0.413484000,0,0
0.462780000,1,0
0.463598000,0,1
0.463600000,0,0
0.512896000,1,0
0.513713000,0,0
0.513714000,0,1
0.513715000,0,0
0.563011000,1,0
0.563829000,0,1
0.563831000,0,0
0.613127000,1,0
0.613944000,0,0
0.613945000,0,1
0.613947000,0,0
0.663242000,1,0
0.664060000,0,1
0.664062000,0,0
0.713358000,1,0
0.714175000,0,0
0.714176000,0,1
0.714178000,0,0
0.763473000,1,0
0.764291000,0,1
0.764293000,0,0
0.813589000,1,0
0.814406000,0,0
0.814407000,0,1
0.814409000,0,0
0.863704000,1,0
0.864522000,0,1
0.864524000,0,0
0.913820000,1,0
0.914637000,0,0
0.914638000,0,1
0.914640000,0,0
0.963935000,1,0
0.964753000,0,1
0.964755000,0,0
1.014051000,1,0
1.014868000,0,0
1.014869000,0,1
1.014871000,0,0
1.064166000,1,0
1.064984000,0,1
1.064986000,0,0
1.114282000,1,0
1.115099000,0,0
1.115100000,0,1
1.115102000,0,0
1.164397000,1,0
1.165215000,0,1
1.165217000,0,0
1.214513000,1,0
1.215330000,0,0
1.215331000,0,1
1.215333000,0,0
1.264628000,1,0
1.265446000,0,1
1.265448000,0,0
1.314744000,1,0
1.315561000,0,0
1.315562000,0,1
1.315564000,0,0
1.364859000,1,0
1.365677000,0,1
1.365679000,0,0
1.414975000,1,0
1.415792000,0,0
1.415793000,0,1
1.415795000,0,0
1.465090000,1,0
1.465908000,0,1
1.465910000,0,0
1.515206000,1,0
1.516023000,0,0
1.516024000,0,1
1.516026000,0,0
1.565321000,1,0
1.566139000,0,1
1.566141000,0,0
1.615437000,1,0
