Time [s],Channel 0,Channel 1
0.000000000,0,0
0.035306000,1,0
0.036124000,0,1
0.036126000,0,0
0.085422000,1,0
0.086239000,0,0
0.086240000,0,1
0.086241000,0,0
0.135537000,1,0
0.136355000,0,1
0.136357000,0,0
0.185653000,1,0
0.186470000,0,0
0.186471000,0,1
0.186472000,0,0
0.235768000,1,0
0.236586000,0,1
0.236588000,0,0
0.285884000,1,0
0.286701000,0,0
0.286702000,0,1
0.286703000,0,0
0.335999000,1,0
0.336817000,0,1
0.336819000,0,0
0.386115000,1,0
0.386932000,0,0
0.386933000,0,1
0.386934000,0,0
0.436230000,1,0
0.437048000,0,1
0.437050000,0,0
0.486346000,1,0
0.487163000,0,0
0.487164000,0,1
0.487165000,0,0
0.536461000,1,0
0.537279000,0,1
0.537281000,0,0
0.586577000,1,0
0.587394000,0,0
0.587395000,0,1
0.587396000,0,0
0.636692000,1,0
0.637510000,0,1
0.637512000,0,0
0.686807000,1,0
0.687625000,0,0
0.687626000,0,1
0.687627000,0,0
0.736923000,1,0
0.737741000,0,1
0.737743000,0,0
0.787038000,1,0
0.787856000,0,0
0.787857000,0,1
0.787858000,0,0
0.837154000,1,0
0.837972000,0,1
0.837974000,0,0
0.887269000,1,0
0.888087000,0,1
0.888089000,0,0
0.937385000,1,0
0.938203000,0,1
0.938205000,0,0
0.987500000,1,0
0.988318000,0,1
0.988320000,0,0
1.037616000,1,0
1.038434000,0,1
1.038436000,0,0
1.087731000,1,0
1.088549000,0,1
1.088551000,0,0
1.137847000,1,0
1.138665000,0,1
1.138667000,0,0
1.187962000,1,0
1.188780000,0,1
1.188782000,0,0
1.238078000,1,0
1.238896000,0,1
1.238898000,0,0
1.288193000,1,0
1.289011000,0,1
1.289013000,0,0
1.338309000,1,0
1.339127000,0,1
1.339129000,0,0
1.388424000,1,0
1.389242000,0,1
1.389244000,0,0
1.438540000,1,0
1.439358000,0,1
1.439360000,0,0
1.488655000,1,0
1.489473000,0,1
1.489475000,0,0
1.538771000,1,0
1.539589000,0,1
1.539591000,0,0
1.588886000,1,0
1.589704000,0,1
1.589706000,0,0
1.639002000,1,0
1.639820000,0,1
1.639822000,0,0
1.689117000,1,0
1.689935000,0,1
1.689937000,0,0
1.739233000,1,0
1.740050000,0,0
1.740051000,0,1
1.740053000,0,0
1.789348000,1,0
1.790166000,0,1
1.790168000,0,0
