Time [s],Channel 2,Channel 3
0.000000000,0,1
0.016032000,0,0
0.016858000,1,0
0.017792000,0,1
0.066148000,0,0
0.066974000,1,0
0.067908000,0,1
0.116264000,0,0
0.117090000,1,0
0.118023000,0,1
0.166379000,0,0
0.167205000,1,0
0.168139000,0,1
0.216495000,0,0
0.217321000,1,0
0.218254000,0,0
0.218255000,0,1
0.266610000,0,0
0.267437000,1,0
0.268370000,0,1
0.316726000,0,0
0.317552000,1,0
0.318486000,0,1
0.366842000,0,0
0.367668000,1,0
0.368601000,0,0
0.368602000,0,1
0.416957000,0,0
0.417783000,1,0
0.418717000,0,1
0.467073000,0,0
0.467899000,1,0
0.468833000,0,1
0.517189000,0,0
0.518015000,1,0
0.518948000,0,1
0.567304000,0,0
0.568130000,1,0
0.569064000,0,1
0.617420000,0,0
0.618246000,1,0
0.619179000,0,0
0.619180000,0,1
0.667536000,0,0
0.668362000,1,0
0.669295000,0,1
0.717651000,0,0
0.718477000,1,0
0.719411000,0,1
0.767767000,0,0
0.768593000,1,0
0.769526000,0,0
0.769527000,0,1
0.817882000,0,0
0.818708000,1,0
0.819642000,0,1
0.867998000,0,0
0.868824000,1,0
0.869758000,0,1
0.918114000,0,0
0.918940000,1,0
0.919873000,0,1
0.968229000,0,0
0.969055000,1,0
0.969989000,0,1
1.018345000,0,0
1.019171000,1,0
1.020104000,0,0
1.020105000,0,1
1.068461000,0,0
1.069287000,1,0
1.070220000,0,1
1.118576000,0,0
1.119402000,1,0
1.120336000,0,1
1.168692000,0,0
1.169518000,1,0
1.170451000,0,0
1.170452000,0,1
1.218807000,0,0
1.219633000,1,0
1.220567000,0,1
1.268923000,0,0
1.269749000,1,0
1.270683000,0,1
1.319039000,0,0
1.319865000,1,0
1.320798000,0,1
1.369154000,0,0
1.369980000,1,0
1.370914000,0,1
1.419270000,0,0
1.420096000,1,0
1.421029000,0,0
1.421030000,0,1
1.469386000,0,0
1.470212000,1,0
1.471145000,0,1
1.519501000,0,0
1.520327000,1,0
1.521261000,0,1
1.569617000,0,0
1.570443000,1,0
1.571376000,0,0
1.571377000,0,1
1.619732000,0,0
1.620558000,1,0
1.621492000,0,1
1.669848000,0,0
1.670674000,1,0
1.671608000,0,1
1.719964000,0,0
1.720790000,1,0
1.721723000,0,0
1.721724000,0,1
1.770079000,0,0
1.770905000,1,0
1.771839000,0,1
1.820195000,0,0
1.821021000,1,0
1.821954000,0,0
1.821955000,0,1
1.870311000,0,0
1.871137000,1,0
1.872070000,0,1
1.920426000,0,0
1.921252000,1,0
1.922186000,0,1
1.970542000,0,0
1.971368000,1,0
1.972301000,0,0
1.972302000,0,1
2.020657000,0,0
2.021483000,1,0
2.022417000,0,1
2.070773000,0,0
2.071599000,1,0
2.072533000,0,1
2.120889000,0,0
2.121715000,1,0
2.122648000,0,0
2.122649000,0,1
2.171004000,0,0
2.171830000,1,0
2.172764000,0,1
2.221120000,0,0
2.221946000,1,0
2.222879000,0,0
2.222880000,0,1
2.271236000,0,0
2.272062000,1,0
