Time [s],Channel 2,Channel 3
0.000000000,0,1
0.014146000,0,0
0.014972000,1,0
0.015905000,0,0
0.015906000,0,1
0.064262000,0,0
0.065088000,1,0
0.066021000,0,1
0.114377000,0,0
0.115203000,1,0
0.116137000,0,1
0.164493000,0,0
0.165319000,1,0
0.166252000,0,0
0.166253000,0,1
0.214608000,0,0
0.215434000,1,0
0.216368000,0,1
0.264724000,0,0
0.265550000,1,0
0.266484000,0,1
0.314840000,0,0
0.315666000,1,0
0.316599000,0,1
0.364955000,0,0
0.365781000,1,0
0.366715000,0,1
0.415071000,0,0
0.415897000,1,0
0.416830000,0,0
0.416831000,0,1
0.465187000,0,0
0.466013000,1,0
0.466946000,0,1
0.515302000,0,0
0.516128000,1,0
0.517062000,0,1
0.565418000,0,0
0.566244000,1,0
0.567177000,0,0
0.567178000,0,1
0.615533000,0,0
0.616359000,1,0
0.617293000,0,1
0.665649000,0,0
0.666475000,1,0
0.667409000,0,1
0.715765000,0,0
0.716591000,1,0
0.717524000,0,1
0.765880000,0,0
0.766706000,1,0
0.767640000,0,1
0.815996000,0,0
0.816822000,1,0
0.817755000,0,0
0.817756000,0,1
0.866111000,0,0
0.866938000,1,0
0.867871000,0,1
0.916227000,0,0
0.917053000,1,0
0.917987000,0,1
0.966343000,0,0
0.967169000,1,0
0.968102000,0,0
0.968103000,0,1
1.016458000,0,0
1.017284000,1,0
1.018218000,0,1
1.066574000,0,0
1.067400000,1,0
1.068333000,0,0
1.068334000,0,1
1.116690000,0,0
1.117516000,1,0
1.118449000,0,1
1.166805000,0,0
1.167631000,1,0
1.168565000,0,1
1.216921000,0,0
1.217747000,1,0
1.218680000,0,0
1.218681000,0,1
1.267036000,0,0
1.267863000,1,0
1.268796000,0,1
1.317152000,0,0
1.317978000,1,0
1.318911000,0,0
1.318912000,0,1
1.367268000,0,0
1.368094000,1,0
1.369027000,0,0
1.369028000,0,1
1.417383000,0,0
1.418209000,1,0
1.419143000,0,1
1.467499000,0,0
1.468325000,1,0
1.469258000,0,0
1.469259000,0,1
1.517615000,0,0
1.518441000,1,0
1.519374000,0,1
1.567730000,0,0
1.568556000,1,0
1.569490000,0,1
1.617846000,0,0
1.618672000,1,0
1.619605000,0,0
1.619606000,0,1
1.667961000,0,0
1.668787000,1,0
1.669721000,0,1
1.718077000,0,0
1.718903000,1,0
1.719836000,0,0
1.719837000,0,1
1.768193000,0,0
1.769019000,1,0
1.769952000,0,0
1.769953000,0,1
1.818308000,0,0
1.819134000,1,0
1.820068000,0,1
1.868424000,0,0
1.869250000,1,0
1.870183000,0,0
1.870184000,0,1
1.918540000,0,0
1.919366000,1,0
1.920299000,0,1
1.968655000,0,0
1.969481000,1,0
1.970415000,0,1
2.018771000,0,0
2.019597000,1,0
